{'prompt': "You are an expert at arithmetic reasoning and are willing to solve algebraic word problems. Select the correct answer from the given options. If none of the options are correct, generate 'None of the above'.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 816, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 818, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 819, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 821, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 824, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 830, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 831, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 833, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 834, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 838, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 840, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 842, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 847, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 848, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 849, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 850, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 852, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 853, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 857, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 863, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 865, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 868, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 869, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 871, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 872, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 879, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 880, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 884, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 886, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 888, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 889, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 890, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 893, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 896, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 897, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 899, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 901, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 903, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 905, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 911, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 912, 'pred_final_answer': 'No answer', 'true_final_answer': 'D'}
{'question_idx': 913, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 915, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 916, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 917, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 918, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 919, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 925, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 929, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 932, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 933, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 934, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 936, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 937, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 939, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 940, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 942, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 947, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 949, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 950, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 951, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 957, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 963, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 964, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 965, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 969, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 970, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 971, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 972, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 976, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 977, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 982, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 984, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 988, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 989, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 991, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 992, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 993, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 994, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 996, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 998, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 999, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
